[10/10/25 11:12PM]  Received item from Kursed. Name: Vote scroll. Id: 23020, amount: 5	
[10/10/25 11:12PM]  Received item from Kursed. Name: Shikruu platelegs. Id: 8802, amount: 1	
[10/10/25 11:12PM]  Received item from Kursed. Name: Shikruu full helm. Id: 8800, amount: 1	
[10/10/25 11:12PM]  Received item from Kursed. Name: Shikruu platebody. Id: 8801, amount: 1	
[10/10/25 11:12PM]  Received item from Kursed. Name: Elite Sword (aoe). Id: 8410, amount: 1	
[10/10/25 11:12PM]  Received item from Kursed. Name: Elite dragon bones. Id: 18830, amount: 500	
[10/11/25 08:35AM]  Received item from Hank. Name: Elite staff. Id: 8412, amount: 1	
[10/11/25 10:11PM]  Received item from Hank. Name: Quill's Card Pack. Id: 23277, amount: 2	
[10/11/25 10:11PM]  Received item from Hank. Name: Owner Jewelry goodiebag. Id: 23240, amount: 2	
[10/11/25 10:11PM]  Received item from Hank. Name: $100 Bond. Id: 10943, amount: 1	
[10/11/25 10:25PM]  Received item from History Hawk. Name: Light Sanguinesti staff. Id: 17013, amount: 1	
