[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
[10/7/25 10:49PM] UPGRADED : Instance Tokens, id: 4278, amount: 1 --into-- Instance token (u), id: 23264, amount: 1	
