[10/11/25 01:45PM] UPGRADED : Dagon'hai hat, id: 14499, amount: 1 --into-- Shetani helm, id: 19140, amount: 1	
[10/11/25 01:45PM] UPGRADED : Dagon'hai hat, id: 14499, amount: 1 --into-- Shetani helm, id: 19140, amount: 1	
[10/11/25 01:45PM] UPGRADED : Dagon'hai hat, id: 14499, amount: 1 --into-- Shetani helm, id: 19140, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:49PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:50PM] UPGRADED : Sagittarian body, id: 17193, amount: 1 --into-- Kree'arra chestplate, id: 18801, amount: 1	
[10/11/25 01:50PM] UPGRADED : Sagittarian body, id: 17193, amount: 1 --into-- Kree'arra chestplate, id: 18801, amount: 1	
[10/11/25 01:50PM] UPGRADED : Sagittarian body, id: 17193, amount: 1 --into-- Kree'arra chestplate, id: 18801, amount: 1	
[10/11/25 01:50PM] UPGRADED : Sagittarian body, id: 17193, amount: 1 --into-- Kree'arra chestplate, id: 18801, amount: 1	
[10/11/25 01:50PM] UPGRADED : Kree'arra helmet, id: 18834, amount: 1 --into-- Pernix cowl, id: 6930, amount: 1	
[10/11/25 01:50PM] UPGRADED : Kree'arra helmet, id: 18834, amount: 1 --into-- Pernix cowl, id: 6930, amount: 1	
[10/11/25 01:50PM] UPGRADED : Kree'arra helmet, id: 18834, amount: 1 --into-- Pernix cowl, id: 6930, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
[10/11/25 01:51PM] UPGRADED : Sagitarian coif, id: 3751, amount: 1 --into-- Kree'arra helmet, id: 18834, amount: 1	
