[10/18/25 08:02PM] Player picked up item: PVM ticket, id: 5022, amount: 14, owner: O	
[10/18/25 08:02PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:02PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:02PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:02PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:02PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:02PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 2, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 14, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Beginner Mystery box, id: 6199, amount: 14, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: Beginner Mystery box, id: 6199, amount: 14, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 2, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 14, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:19PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:19PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:20PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:20PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:20PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:20PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:20PM] Player picked up item: Starter bones, id: 23402, amount: 3, owner: O	
[10/18/25 08:20PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:20PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:20PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:22PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:22PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:22PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:22PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:22PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:22PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:22PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 2, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:23PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:24PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:24PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:26PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:26PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:26PM] Player picked up item: Beginner Mystery box, id: 6199, amount: 7, owner: O	
[10/18/25 08:27PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:27PM] Player picked up item: PvM Box, id: 7956, amount: 2, owner: O	
[10/18/25 08:27PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:27PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:27PM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: O	
[10/18/25 08:27PM] Player picked up item: Starter bones, id: 23402, amount: 2, owner: O	
[10/18/25 08:27PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:27PM] Player picked up item: Beginner Mystery box, id: 6199, amount: 7, owner: O	
[10/18/25 08:28PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:28PM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: O	
[10/18/25 08:36PM] Player picked up item: Vote scroll, id: 23020, amount: 10, owner: O	
[10/18/25 08:36PM] Player picked up item: Levincia tokens, id: 12855, amount: 5000, owner: O	
[10/18/25 08:47PM] Player picked up item: Leafy bones, id: 3282, amount: 1, owner: O	
[10/18/25 08:47PM] Player picked up item: Leafy bones, id: 3282, amount: 1, owner: O	
[10/18/25 08:47PM] Player picked up item: PVM ticket, id: 5022, amount: 1, owner: O	
[10/18/25 08:48PM] Player picked up item: Leafy bones, id: 3282, amount: 1, owner: O	
[10/18/25 08:48PM] Player picked up item: PvM Box, id: 7956, amount: 1, owner: O	
[10/18/25 08:49PM] Player picked up item: Leafy bones, id: 3282, amount: 2, owner: O	
[10/18/25 08:52PM] Player picked up item: Spider bones, id: 3284, amount: 1, owner: O	
[10/18/25 08:52PM] Player picked up item: Levincia tokens, id: 12855, amount: 1000, owner: O	
[10/18/25 08:52PM] Player picked up item: Shark, id: 386, amount: 13, owner: O	
[10/18/25 08:52PM] Player picked up item: Spider bones, id: 3284, amount: 1, owner: O	
[10/18/25 08:52PM] Player picked up item: Spider bones, id: 3284, amount: 1, owner: O	
[10/18/25 08:52PM] Player picked up item: PVM ticket, id: 5022, amount: 100, owner: O	
[10/18/25 08:52PM] Player picked up item: Spider bones, id: 3284, amount: 1, owner: O	
[10/18/25 08:52PM] Player picked up item: PVM ticket, id: 5022, amount: 100, owner: O	
[10/18/25 08:52PM] Player picked up item: Prayer potion (4), id: 2435, amount: 17, owner: O	
[10/18/25 08:52PM] Player picked up item: Spider bones, id: 3284, amount: 1, owner: O	
